Student,LPIPS,SSIM
112590051.png,0.0,1.0
112590021.png,0.27392223477363586,0.4842310079264108
112590035.png,0.3166493773460388,0.4348163992449097
110590456.png,0.33932578563690186,0.4882044673984212
112590026.png,0.3516729176044464,0.442252239592586
112590052.png,0.3537105321884155,0.42565010349858157
112590057.png,0.35732027888298035,0.44075948598740955
112590031.png,0.35995545983314514,0.3904246995972452
112590020.png,0.36941760778427124,0.41786058065965853
109810011.png,0.3819250464439392,0.4338020692893852
112590024.png,0.40329763293266296,0.3427521752793175
112590053.png,0.41704320907592773,0.341202134657473
112590005.png,0.4175138473510742,0.441084478595632
112590044.png,0.41948702931404114,0.4350161862756318
112590018.png,0.42954349517822266,0.3335301868843898
112590022.png,0.4407617151737213,0.40691780468716415
112590060.png,0.44228410720825195,0.4243433158959376
112590023.png,0.4426320791244507,0.4595780333746348
110820009.png,0.4441438615322113,0.40314931945146665
112590004.png,0.4477807283401489,0.428374123498674
111820017.jpg,0.44778895378112793,0.40498123849026485
112590017.png,0.4505247175693512,0.46741131965969823
112590007.png,0.46156591176986694,0.4102231850710034
112590014.png,0.4640835225582123,0.49717191303077096
112590038.png,0.46748748421669006,0.4544374323228528
112590036.png,0.46794092655181885,0.44069396844760406
111332012.png,0.47224342823028564,0.40571607030801055
112590009.png,0.47666558623313904,0.38193456192626263
112ab0053.png,0.4850093424320221,0.4518405135878565
112590041.png,0.4970242381095886,0.4260444467747331
112590029.png,0.4973985552787781,0.4682610933981712
112590013.png,0.5054187178611755,0.47381006723501845
112590033.png,0.515923798084259,0.41445118443377577
113378043.png,0.5502021312713623,0.3575879026660768
112590012.png,0.55299973487854,0.4747866683123629
112590030.png,0.5582210421562195,0.3782096336418373
110590041.png,0.5896691083908081,0.4556009385334964
